player_name,Unnamed: 0,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate
N. Radonjić,720,17322,237274,948.7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,1,3,0.67,1,2,0,0,0
N. Sliti,1119,32552,52200,6670.3,0,0,0,3,0,2,1,0,1,0,0,0,31,21,1.35,0,3,20,1.31,2,13,0,0,0
N. Tagliafico,1892,36822,260166,16407.3,0,0,0,2,0,0,1,1,5,0,0,0,175,152,2.58,0,13,30,1.8599999999999999,1,20,0,0,0
Nacho,85,1598,3304,5753.8,1,0,0,1,1,1,0,0,3,0,0,0,49,46,0.94,0,2,15,0.67,4,10,0,0,0
Neymar,937,12760,81620,11850.2,1,0,0,9,5,6,2,1,5,3,1,0,90,78,1.73,6,1,73,1.5,0,55,0,0,0
O. Dembélé,1732,13254,859170,10160.7,0,0,0,3,0,1,2,0,1,0,0,0,65,50,2.09,1,4,29,2.23,0,22,0,0,0
O. Ebrahimi,1564,32520,236973,16604.3,0,0,0,0,0,0,0,0,5,0,1,0,67,60,2.69,0,16,35,1.76,7,19,0,0,0
O. Etebo,2029,50469,1273872,17013.0,0,0,1,7,1,7,0,0,4,0,0,0,140,127,2.6799999999999997,0,9,68,2.2199999999999998,1,51,0,0,0
O. Giroud,1715,13254,78030,13070.3,0,1,0,5,1,0,4,1,4,0,0,0,32,25,2.54,1,2,37,1.31,1,19,0,0,0
O. Hiljemark,318,7047,51145,1449.0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0.75,0,1,4,0.5,0,2,0,0,0
O. Ighalo,1992,50469,15885,8121.599999999999,0,0,0,4,2,2,1,1,6,0,0,0,13,11,2.71,0,6,28,2.14,4,18,0,0,0
O. Murillo,398,12430,91002,5763.2,0,0,0,1,0,0,0,1,0,0,0,0,42,36,0.86,0,5,9,0.89,5,8,0,0,0
O. Toivonen,1101,14094,246,9361.7,1,0,0,2,2,1,0,1,3,0,0,0,27,18,1.31,1,2,13,1.53,0,10,0,0,0
Omar Hawsawi,18,16521,122651,5802.5,0,0,0,0,0,0,0,0,1,0,0,0,56,47,0.84,0,3,9,0.56,4,5,0,0,0
Osama Hawsawi,1482,49563,368517,17636.1,0,0,0,0,0,0,0,0,3,0,0,0,124,115,2.78,0,18,28,1.8599999999999999,9,17,0,0,0
