match_id,team_id,team_name,player_id,player_name,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy
2057960,1598,Spain,3345,Thiago Alcântara,1554.8,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0.89
2057960,1598,Spain,3346,Sergio Busquets,5753.8,0,1,0,1,0,0,0,1,2,0,1,0,68,64,0.94
2057960,1598,Spain,3353,Iniesta,4199.0,0,0,0,1,0,0,1,0,0,0,0,0,66,61,0.92
2057960,1598,Spain,3443,Koke,5753.8,0,0,0,0,0,0,0,0,0,0,0,0,84,78,0.93
2057960,1598,Spain,3563,Isco,5753.8,0,0,0,2,1,1,1,0,0,1,0,0,97,90,0.93
2057960,1598,Spain,3840,Iago Aspas,1134.8,0,0,0,1,1,0,1,0,0,0,0,0,5,4,0.8
2057960,1598,Spain,4338,Diego Costa,4619.0,2,0,0,3,2,2,1,0,0,0,0,0,17,17,1.0
2057960,1598,Spain,4498,Lucas Vázquez,594.8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.0
2057960,1598,Spain,7910,David de Gea,5753.8,0,0,0,0,0,0,0,0,0,0,0,0,14,14,1.0
2057960,1598,Spain,8317,David Silva,5159.0,0,0,0,3,0,1,2,0,2,1,0,0,52,47,0.9
2057960,9905,Portugal,3305,Pepe,5753.8,0,0,0,0,0,0,0,0,3,0,0,0,29,23,0.79
2057960,9905,Portugal,3322,Cristiano Ronaldo,5753.8,3,0,0,4,3,3,1,0,1,0,0,0,29,29,1.0
2057960,9905,Portugal,8126,José Fonte,5753.8,0,0,0,0,0,0,0,0,0,0,0,0,33,28,0.85
2057960,9905,Portugal,28907,Raphaël Guerreiro,5753.8,0,0,0,0,0,0,0,0,0,0,0,0,50,40,0.8
2057960,9905,Portugal,32597,Ricardo Quaresma,1614.8,0,0,0,2,0,2,0,0,1,0,0,0,6,4,0.67
2057960,9905,Portugal,37762,William Carvalho,5753.8,0,0,0,0,0,0,0,0,1,0,0,0,50,47,0.94
2057960,9905,Portugal,70093,João Moutinho,5753.8,0,0,0,0,0,0,0,0,1,0,0,0,36,36,1.0
2057960,9905,Portugal,70134,Rui Patrício,5753.8,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0.86
2057960,9905,Portugal,70389,Cédric Soares,5753.8,0,0,0,0,0,0,0,0,1,0,0,0,36,28,0.78
2057960,9905,Portugal,70403,Adrien Silva,954.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.33
2057960,9905,Portugal,70965,João Mário,1674.8,0,0,0,0,0,0,0,0,1,0,0,0,9,7,0.78
2057960,9905,Portugal,237034,Gonçalo Guedes,4799.0,0,0,0,1,0,1,0,0,1,1,0,0,17,16,0.94
2057960,9905,Portugal,243588,Bruno Fernandes,4079.0,0,0,0,1,0,1,0,0,1,0,1,0,19,14,0.74
2057960,9905,Portugal,265673,Bernardo Silva,4139.0,0,0,0,0,0,0,0,0,1,0,0,0,19,16,0.84
2057966,4418,France,3309,R. Varane,5792.2,0,0,0,0,0,0,0,0,0,0,0,0,69,61,0.88
2057966,4418,France,3682,A. Griezmann,4204.2,1,0,0,4,2,2,2,0,1,0,0,0,19,12,0.63
2057966,4418,France,7936,P. Pogba,5792.2,0,0,0,2,1,2,0,0,1,0,0,0,59,52,0.88
2057966,4418,France,25381,H. Lloris,5792.2,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0.88
2057966,4418,France,25397,S. Umtiti,5792.2,0,0,0,1,0,0,1,0,2,0,0,0,59,57,0.97
2057966,4418,France,25437,B. Matuidi,1098.0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0.8
2057966,4418,France,26010,O. Giroud,1588.0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,1.0
2057966,4418,France,28115,N. Fekir,1588.0,0,0,0,1,0,0,1,0,0,0,0,0,11,8,0.73
2057966,4418,France,31528,N. Kanté,5792.2,0,0,0,0,0,0,0,0,2,0,0,0,61,57,0.93
