,player_name,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate,goals_per_90min,assists_per_90min,total_shots_per_90min,shots_on_target_per_90min,total_passes_per_90min,interceptions_per_90min,tackle_per_90min,clearances_per_90min,total_saves_per_90min,save_rate_per_90min
141,E. Hazard,11258,51414,9970.3,2,1,0,8,4,5,3,0,1,0,0,0,61,50,1.65,1,9,39,1.48,0,29,0,0,0,1.1,0.5,4.3,2.2,33.0,4.9,21.1,0.0,0.0,0.0
142,E. Kawashima,38739,113688,17105.5,0,0,0,0,0,0,0,0,1,0,1,0,58,53,2.74,0,3,0,0.0,0,0,13,9,0,0.0,0.0,0.0,0.0,18.3,0.9,0.0,0.0,4.1,0.0
143,E. Pérez,24548,172468,7886.5,0,0,0,1,0,0,1,0,3,0,0,0,79,75,1.91,1,3,14,0.8300000000000001,0,6,0,0,0,0.0,0.0,0.7,0.0,54.1,2.1,9.6,0.0,0.0,0.0
144,E. Salvio,24548,6890,9192.2,0,0,0,1,0,0,1,0,0,0,0,0,93,78,1.66,1,8,19,1.54,3,15,0,0,0,0.0,0.0,0.6,0.0,54.6,4.7,11.2,1.8,0.0,0.0
145,E. Skhiri,48828,740838,17563.1,0,0,0,0,0,0,0,0,6,0,0,0,160,147,2.75,0,9,46,1.83,2,26,0,0,0,0.0,0.0,0.0,0.0,49.2,2.8,14.1,0.6,0.0,0.0
146,E. Álvarez,46419,1344630,13753.7,0,0,1,0,0,0,0,0,2,0,0,0,125,111,2.53,1,17,34,1.64,4,20,0,0,0,0.0,0.0,0.0,0.0,49.1,6.7,13.3,1.6,0.0,0.0
147,Essam El Hadary,16129,120269,6070.8,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0.82,0,3,0,0.0,0,0,7,5,0,0.0,0.0,0.0,0.0,9.8,2.7,0.0,0.0,6.2,0.0
148,F. Armani,12274,90991,5792.8,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0.7,0,3,0,0.0,1,0,3,2,0,0.0,0.0,0.0,0.0,18.6,2.8,0.0,0.9,2.8,0.0
150,F. Ben Mustapha,32552,241568,10687.9,0,0,0,0,0,0,0,0,0,0,0,0,34,29,1.68,0,5,3,0.33,3,1,12,7,0,0.0,0.0,0.0,0.0,17.2,2.5,1.5,1.5,6.1,0.0
151,F. Ben Youssef,48828,628062,17563.1,1,0,0,7,2,4,0,3,3,0,0,0,94,71,2.25,2,12,17,2.3,8,13,0,0,0,0.3,0.0,2.2,0.6,28.9,3.7,5.2,2.5,0.0,0.0
153,F. Calvo,33742,251024,7420.7,0,0,0,1,0,1,0,0,1,0,1,0,44,35,1.55,0,7,20,1.59,4,13,0,0,0,0.0,0.0,0.7,0.0,32.0,5.1,14.6,2.9,0.0,0.0
154,F. Delph,4826,16928,7534.1,0,0,0,2,0,0,2,0,1,1,0,0,65,55,1.7,0,1,25,0.99,0,13,0,0,0,0.0,0.0,1.4,0.0,46.6,0.7,17.9,0.0,0.0,0.0
155,F. Escobar,53787,821049,17587.9,0,0,0,1,1,1,0,0,6,0,1,0,90,79,2.58,0,15,16,2.1,5,10,0,0,0,0.0,0.0,0.3,0.3,27.6,4.6,4.9,1.5,0.0,0.0
157,F. Kostić,51966,383388,10616.1,0,0,0,2,0,0,2,0,4,0,0,0,46,31,1.67,0,4,38,1.7000000000000002,1,25,0,0,0,0.0,0.0,1.0,0.0,23.4,2.0,19.3,0.5,0.0,0.0
158,F. Kudryashov,28716,203294,6345.5,0,0,0,0,0,0,0,0,3,0,0,0,42,38,1.9,0,1,9,0.79,0,3,0,0,0,0.0,0.0,0.0,0.0,35.7,0.9,7.7,0.0,0.0,0.0
159,F. Muslera,47010,97923,17402.5,0,0,0,0,0,0,0,0,0,0,0,0,51,47,2.75,0,3,0,0.0,0,0,7,7,0,0.0,0.0,0.0,0.0,15.8,0.9,0.0,0.0,2.2,0.0
160,F. Sassi,48828,362559,12311.3,1,0,0,5,1,5,0,0,6,0,2,0,151,131,2.61,1,7,27,1.38,2,12,0,0,0,0.4,0.0,2.2,0.4,66.2,3.1,11.8,0.9,0.0,0.0
161,F. Schär,20091,150306,17546.3,0,0,0,1,0,0,0,1,4,0,2,0,210,181,2.5700000000000003,0,13,25,1.89,11,16,0,0,0,0.0,0.0,0.3,0.0,64.6,4.0,7.7,3.4,0.0,0.0
